 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
2177 22.41 0.58 13.05 3.67 7794.32 1033.4 0.0 1 0.0 352516
2178 22.41 0.43 9.69 3.66 7795.49 1033.77 0.0 1 0.0 352636
2179 22.41 0.57 12.72 3.66 7797.04 1034.33 0.0 1 0.0 352759
2180 22.41 0.47 10.65 3.65 7798.48 1034.7 0.0 1 0.0 352894
2181 22.41 0.55 12.44 3.64 7799.97 1035.26 0.0 1 0.0 353014
2182 22.41 0.49 10.93 3.64 7801.28 1035.63 0.0 1 0.0 353134
2183 22.41 0.56 12.61 3.63 7803.02 1036.19 0.0 1 0.0 353272
2184 22.41 0.56 12.61 3.62 7804.53 1036.57 0.0 1 0.0 353392
2185 22.41 0.5 11.15 3.62 7805.88 1036.94 0.0 1 0.0 353512
2186 22.41 0.55 12.33 3.61 7807.36 1037.5 0.0 1 0.0 353632
2187 22.41 0.53 11.88 3.61 7808.79 1037.87 0.0 1 0.0 353752
2188 22.41 0.5 11.26 3.6 7810.17 1038.25 0.0 1 0.0 353875
2189 22.41 0.54 12.21 3.6 7811.64 1038.8 0.0 1 0.0 353995
2190 22.41 0.49 10.93 3.61 7812.95 1039.18 0.0 1 0.0 354115
2191 22.41 0.57 12.77 3.6 7814.48 1039.55 0.0 1 0.0 354235
2192 22.41 0.57 12.77 3.6 7816.01 1040.11 0.0 1 0.0 354355
2193 22.41 0.53 11.99 3.6 7817.45 1040.48 0.0 1 0.0 354476
2194 22.41 0.45 10.03 3.6 7818.66 1040.86 0.0 1 0.0 354596
2195 22.41 0.56 12.55 3.59 7820.16 1041.23 0.0 1 0.0 354716
2196 22.41 0.51 11.49 3.59 7821.54 1041.79 0.0 1 0.0 354836
2197 22.41 0.57 12.72 3.59 7823.1 1042.16 0.0 1 0.0 354959
2198 22.41 0.46 10.25 3.59 7824.33 1042.54 0.0 1 0.0 355079
2199 22.41 0.46 10.25 3.58 7825.57 1043.09 0.0 1 0.0 355199
2200 22.41 0.56 12.66 3.58 7827.08 1043.47 0.0 1 0.0 355319
2201 22.41 0.49 11.04 3.57 7828.42 1043.84 0.0 1 0.0 355439
2202 22.41 0.51 11.43 3.56 7829.79 1044.4 0.0 1 0.0 355559
2203 22.41 0.59 13.22 3.56 7831.38 1044.77 0.0 1 0.0 355679
2204 22.41 0.51 11.54 3.55 7832.76 1045.15 0.0 1 0.0 355799
2205 22.41 0.52 11.6 3.54 7834.35 1045.71 0.0 1 0.0 355937
2206 22.41 0.47 10.48 3.55 7835.61 1046.08 0.0 1 0.0 356057
2207 22.41 0.47 10.48 3.54 7836.87 1046.45 0.0 1 0.0 356177
2208 22.41 0.51 11.49 3.54 7838.26 1046.82 0.0 1 0.0 356297
2209 22.41 0.54 12.16 3.53 7839.72 1047.38 0.0 1 0.0 356417
2210 22.41 0.49 11.04 3.53 7841.04 1047.76 0.0 1 0.0 356537
2211 22.41 0.58 13.0 3.53 7842.83 1048.32 0.0 1 0.0 356676
2212 22.41 0.48 10.76 3.52 7844.13 1048.69 0.0 1 0.0 356796
2213 22.41 0.54 12.05 3.52 7845.57 1049.06 0.0 1 0.0 356916
2214 22.41 0.5 11.26 3.52 7846.96 1049.44 0.0 1 0.0 357039
2215 22.41 0.5 11.26 3.52 7848.31 1049.99 0.0 1 0.0 357159
2216 22.41 0.61 13.61 3.51 7849.96 1050.37 0.0 1 0.0 357279
2217 22.41 0.45 10.14 3.51 7851.17 1050.74 0.0 1 0.0 357399
2218 22.41 0.52 11.6 3.51 7852.56 1051.11 0.0 1 0.0 357519
2219 22.41 0.52 11.6 3.5 7853.96 1051.67 0.0 1 0.0 357639
2220 22.41 0.52 11.6 3.49 7855.35 1052.05 0.0 1 0.0 357759
2221 22.41 0.52 11.6 3.49 7856.74 1052.42 0.0 1 0.0 357880
2222 22.41 0.52 11.6 3.48 7858.13 1052.79 0.0 1 0.0 358000
2223 22.41 0.5 11.26 3.46 7859.52 1053.35 0.0 1 0.0 358123
2224 22.41 0.59 13.17 3.47 7861.11 1053.72 0.0 1 0.0 358244
2225 22.41 0.49 11.04 3.46 7862.43 1054.1 0.0 1 0.0 358364
