0.0000 45.7746 4294967295.//// 0.3400 13.7600 3.3266 -4294967295.//// 6342
0.2350 23.3387 82.7890 1.6234 16.1325 1.4467 99.8714 20870
0.2410 23.3387 80.7279 1.6234 16.1325 1.4467 99.8746 20920
0.2430 23.3387 80.0635 1.6234 16.1325 1.4467 99.8756 20970
0.2490 23.3387 78.1342 1.6234 16.1325 1.4467 99.8786 21020
0.2520 23.3307 77.1775 1.6229 16.1325 1.4462 99.8801 21070
0.2560 23.3307 75.9716 1.6229 16.1325 1.4462 99.8820 21120
0.2580 23.3307 75.3827 1.6229 16.1325 1.4462 99.8829 21171
0.2620 23.3307 74.2318 1.6229 16.1325 1.4462 99.8847 21221
0.2670 23.3307 72.8417 1.6229 16.1325 1.4462 99.8868 21271
0.2680 23.3369 72.5892 1.6217 16.1313 1.4467 99.8872 21321
0.2720 23.3369 71.5218 1.6217 16.1313 1.4467 99.8889 21371
0.2750 23.3369 70.7415 1.6217 16.1313 1.4467 99.8901 21421
0.2770 23.3369 70.2307 1.6217 16.1313 1.4467 99.8909 21471
0.2790 23.3369 69.7273 1.6217 16.1313 1.4467 99.8917 21521
0.2820 23.3369 68.9855 1.6217 16.1313 1.4467 99.8928 21572
0.2840 23.3289 68.4761 1.6212 16.1313 1.4462 99.8936 21622
0.2860 23.3289 67.9973 1.6212 16.1313 1.4462 99.8943 21672
0.2860 23.3289 67.9973 1.6212 16.1313 1.4462 99.8943 21722
0.2880 23.3351 67.5431 1.6200 16.1300 1.4467 99.8951 21772
0.2900 23.3351 67.0773 1.6200 16.1300 1.4467 99.8958 21822
0.2930 23.3413 66.4082 1.6189 16.1287 1.4472 99.8968 21872
0.2950 23.3413 65.9580 1.6189 16.1287 1.4472 99.8975 21922
0.2960 23.3413 65.7351 1.6189 16.1287 1.4472 99.8979 21972
0.2950 23.3413 65.9580 1.6189 16.1287 1.4472 99.8975 22023
0.2980 23.3413 65.2939 1.6189 16.1287 1.4472 99.8985 22073
0.3000 23.3413 64.8587 1.6189 16.1287 1.4472 99.8992 22123
0.3000 23.3395 64.8536 1.6172 16.1275 1.4472 99.8992 22173
0.3000 23.3395 64.8536 1.6172 16.1275 1.4472 99.8992 22223
0.3020 23.3395 64.4241 1.6172 16.1275 1.4472 99.8999 22273
0.3020 23.3395 64.4241 1.6172 16.1275 1.4472 99.8999 22323
0.3040 23.3395 64.0003 1.6172 16.1275 1.4472 99.9005 22374
0.3040 23.3395 64.0003 1.6172 16.1275 1.4472 99.9005 22424
0.3040 23.3395 64.0003 1.6172 16.1275 1.4472 99.9005 22474
0.3040 23.3395 64.0003 1.6172 16.1275 1.4472 99.9005 22524
0.3070 23.3457 63.3918 1.6160 16.1262 1.4477 99.9015 22574
0.3080 23.3457 63.1860 1.6160 16.1262 1.4477 99.9018 22624
0.3070 23.3457 63.3918 1.6160 16.1262 1.4477 99.9015 22674
0.3080 23.3457 63.1860 1.6160 16.1262 1.4477 99.9018 22724
0.3080 23.3457 63.1860 1.6160 16.1262 1.4477 99.9018 22774
0.3090 23.3457 62.9815 1.6160 16.1262 1.4477 99.9021 22824
0.3090 23.3520 62.9983 1.6149 16.1250 1.4482 99.9021 22875
0.3090 23.3520 62.9983 1.6149 16.1250 1.4482 99.9021 22925
0.3090 23.3520 62.9983 1.6149 16.1250 1.4482 99.9021 22975
0.3090 23.3520 62.9983 1.6149 16.1250 1.4482 99.9021 23025
0.3090 23.3520 62.9983 1.6149 16.1250 1.4482 99.9021 23075
0.3110 23.3502 62.5883 1.6132 16.1238 1.4482 99.9027 23125
0.3100 23.3502 62.7902 1.6132 16.1238 1.4482 99.9024 23175
0.3080 23.3502 63.1979 1.6132 16.1238 1.4482 99.9018 23225
0.3100 23.3502 62.7902 1.6132 16.1238 1.4482 99.9024 23275
0.3120 23.3502 62.3877 1.6132 16.1238 1.4482 99.9030 23325
0.3100 23.3502 62.7902 1.6132 16.1238 1.4482 99.9024 23376
