0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0070 0.3731 44.4257 3.6566 18.7275 0.0199 99.9405 16877
0.0060 0.3730 51.8266 3.6549 18.7262 0.0199 99.9306 16927
0.0080 0.3730 38.8699 3.6549 18.7262 0.0199 99.9480 16977
0.0080 0.3637 37.8956 3.6528 18.7250 0.0194 99.9493 17027
0.0080 0.3637 37.8956 3.6528 18.7250 0.0194 99.9493 17078
0.0090 0.3637 33.6850 3.6528 18.7250 0.0194 99.9549 17128
0.0090 0.3730 34.5464 3.6516 18.7237 0.0199 99.9538 17178
0.0070 0.3730 44.4168 3.6516 18.7237 0.0199 99.9405 17228
0.0080 0.3730 38.8647 3.6516 18.7237 0.0199 99.9480 17278
0.0090 0.3729 34.5418 3.6483 18.7213 0.0199 99.9538 17328
0.0090 0.3729 34.5418 3.6483 18.7213 0.0199 99.9538 17378
0.0080 0.3729 38.8595 3.6483 18.7213 0.0199 99.9480 17428
0.0070 0.3729 44.4109 3.6483 18.7213 0.0199 99.9405 17478
0.0060 0.3729 51.8127 3.6483 18.7213 0.0199 99.9306 17528
0.0070 0.3636 43.2977 3.6461 18.7200 0.0194 99.9420 17578
0.0080 0.3636 37.8855 3.6461 18.7200 0.0194 99.9493 17628
0.0080 0.3636 37.8855 3.6461 18.7200 0.0194 99.9493 17679
0.0090 0.3729 34.5349 3.6433 18.7175 0.0199 99.9538 17729
0.0060 0.3729 51.8023 3.6433 18.7175 0.0199 99.9306 17779
0.0080 0.3729 38.8518 3.6433 18.7175 0.0199 99.9480 17829
0.0080 0.3728 38.8492 3.6416 18.7162 0.0199 99.9480 17879
0.0060 0.3728 51.7989 3.6416 18.7162 0.0199 99.9306 17929
0.0080 0.3728 38.8492 3.6416 18.7162 0.0199 99.9480 17979
0.0080 0.3635 37.8779 3.6411 18.7162 0.0194 99.9493 18029
0.0070 0.3635 43.2891 3.6411 18.7162 0.0194 99.9420 18079
