0.0000 44.1031 4294967295.//// -1.1217 13.7537 3.2066 -4294967295.//// 6342
0.0060 0.3740 0.0520 2.3883 18.7763 0.0199 99.9306 18304
0.0080 0.3740 0.0390 2.3883 18.7763 0.0199 99.9480 18354
0.0080 0.3740 0.0390 2.3883 18.7763 0.0199 99.9480 18404
0.0070 0.3740 0.0445 2.3866 18.7750 0.0199 99.9405 18454
0.0060 0.3740 0.0520 2.3866 18.7750 0.0199 99.9306 18504
0.0080 0.3740 0.0390 2.3866 18.7750 0.0199 99.9480 18555
0.0050 0.3740 0.0624 2.3866 18.7750 0.0199 99.9168 18605
0.0060 0.3740 0.0520 2.3866 18.7750 0.0199 99.9306 18655
0.0060 0.3646 0.0507 2.3844 18.7738 0.0194 99.9324 18705
0.0070 0.3646 0.0434 2.3844 18.7738 0.0194 99.9420 18755
0.0070 0.3646 0.0434 2.3844 18.7738 0.0194 99.9420 18805
0.0070 0.3739 0.0445 2.3833 18.7725 0.0199 99.9405 18855
0.0070 0.3739 0.0445 2.3833 18.7725 0.0199 99.9405 18905
0.0070 0.3739 0.0445 2.3833 18.7725 0.0199 99.9405 18955
0.0080 0.3739 0.0390 2.3816 18.7712 0.0199 99.9480 19005
0.0070 0.3739 0.0445 2.3816 18.7712 0.0199 99.9405 19055
0.0070 0.3739 0.0445 2.3799 18.7700 0.0199 99.9405 19105
0.0080 0.3739 0.0390 2.3799 18.7700 0.0199 99.9480 19155
0.0080 0.3739 0.0390 2.3799 18.7700 0.0199 99.9480 19205
0.0070 0.3646 0.0434 2.3794 18.7700 0.0194 99.9420 19255
0.0070 0.3646 0.0434 2.3794 18.7700 0.0194 99.9420 19305
0.0080 0.3646 0.0380 2.3794 18.7700 0.0194 99.9493 19355
0.0090 0.3738 0.0346 2.3766 18.7675 0.0199 99.9538 19405
0.0080 0.3738 0.0390 2.3766 18.7675 0.0199 99.9480 19455
0.0090 0.3738 0.0346 2.3766 18.7675 0.0199 99.9538 19505
0.0080 0.3738 0.0390 2.3766 18.7675 0.0199 99.9480 19555
0.0070 0.3738 0.0445 2.3766 18.7675 0.0199 99.9405 19605
0.0080 0.3738 0.0390 2.3749 18.7663 0.0199 99.9480 19655
0.0060 0.3738 0.0519 2.3749 18.7663 0.0199 99.9306 19705
0.0070 0.3738 0.0445 2.3749 18.7663 0.0199 99.9405 19755
0.0080 0.3645 0.0380 2.3728 18.7650 0.0194 99.9493 19806
0.0080 0.3645 0.0380 2.3728 18.7650 0.0194 99.9493 19856
0.0080 0.3645 0.0380 2.3728 18.7650 0.0194 99.9493 19906
0.0090 0.3738 0.0346 2.3716 18.7638 0.0199 99.9538 19956
0.0070 0.3738 0.0445 2.3716 18.7638 0.0199 99.9405 20006
0.0090 0.3738 0.0346 2.3716 18.7638 0.0199 99.9538 20056
0.0080 0.3737 0.0389 2.3699 18.7625 0.0199 99.9480 20106
0.0080 0.3737 0.0389 2.3699 18.7625 0.0199 99.9480 20156
0.0070 0.3737 0.0445 2.3699 18.7625 0.0199 99.9405 20206
0.0080 0.3737 0.0389 2.3683 18.7612 0.0199 99.9480 20256
0.0070 0.3737 0.0445 2.3683 18.7612 0.0199 99.9405 20306
0.0070 0.3737 0.0445 2.3683 18.7612 0.0199 99.9405 20356
0.0070 0.3737 0.0445 2.3683 18.7612 0.0199 99.9405 20406
0.0080 0.3737 0.0389 2.3683 18.7612 0.0199 99.9480 20456
0.0070 0.3644 0.0434 2.3661 18.7600 0.0194 99.9420 20506
0.0080 0.3644 0.0380 2.3661 18.7600 0.0194 99.9493 20556
0.0080 0.3644 0.0380 2.3661 18.7600 0.0194 99.9493 20606
0.0070 0.3737 0.0445 2.3649 18.7588 0.0199 99.9405 20656
0.0080 0.3737 0.0389 2.3649 18.7588 0.0199 99.9480 20706
0.0070 0.3737 0.0445 2.3649 18.7588 0.0199 99.9405 20756
0.0070 0.3736 0.0445 2.3633 18.7575 0.0199 99.9405 20806
0.0060 0.3736 0.0519 2.3633 18.7575 0.0199 99.9306 20856
0.0080 0.3736 0.0389 2.3633 18.7575 0.0199 99.9480 20907
0.0070 0.3736 0.0445 2.3633 18.7575 0.0199 99.9405 20957
0.0070 0.3736 0.0445 2.3633 18.7575 0.0199 99.9405 21007
0.0060 0.3736 0.0519 2.3616 18.7563 0.0199 99.9306 21057
0.0070 0.3736 0.0445 2.3616 18.7563 0.0199 99.9405 21107
0.0080 0.3736 0.0389 2.3616 18.7563 0.0199 99.9480 21157
0.0070 0.3643 0.0434 2.3611 18.7563 0.0194 99.9420 21207
0.0080 0.3643 0.0380 2.3611 18.7563 0.0194 99.9493 21257
0.0080 0.3643 0.0380 2.3611 18.7563 0.0194 99.9493 21307
0.0080 0.3736 0.0389 2.3599 18.7550 0.0199 99.9480 21357
0.0070 0.3736 0.0445 2.3599 18.7550 0.0199 99.9405 21407
0.0060 0.3736 0.0519 2.3583 18.7537 0.0199 99.9306 21457
0.0060 0.3736 0.0519 2.3583 18.7537 0.0199 99.9306 21507
0.0070 0.3736 0.0445 2.3583 18.7537 0.0199 99.9405 21557
0.0070 0.3642 0.0434 2.3578 18.7537 0.0194 99.9420 21607
0.0080 0.3642 0.0380 2.3578 18.7537 0.0194 99.9493 21657
0.0070 0.3642 0.0434 2.3578 18.7537 0.0194 99.9420 21707
0.0070 0.3642 0.0434 2.3561 18.7525 0.0194 99.9420 21757
0.0070 0.3642 0.0434 2.3561 18.7525 0.0194 99.9420 21807
0.0060 0.3642 0.0506 2.3561 18.7525 0.0194 99.9324 21857
0.0070 0.3735 0.0445 2.3549 18.7512 0.0199 99.9405 21907
0.0070 0.3735 0.0445 2.3549 18.7512 0.0199 99.9405 21957
0.0060 0.3735 0.0519 2.3549 18.7512 0.0199 99.9306 22007
0.0070 0.3735 0.0445 2.3533 18.7500 0.0199 99.9405 22057
0.0080 0.3735 0.0389 2.3533 18.7500 0.0199 99.9480 22107
0.0080 0.3735 0.0389 2.3533 18.7500 0.0199 99.9480 22157
0.0070 0.3735 0.0445 2.3533 18.7500 0.0199 99.9405 22208
0.0080 0.3735 0.0389 2.3533 18.7500 0.0199 99.9480 22258
0.0070 0.3641 0.0434 2.3511 18.7488 0.0194 99.9420 22308
0.0080 0.3641 0.0379 2.3511 18.7488 0.0194 99.9493 22358
0.0080 0.3641 0.0379 2.3511 18.7488 0.0194 99.9493 22408
0.0080 0.3641 0.0379 2.3511 18.7488 0.0194 99.9493 22458
0.0070 0.3641 0.0434 2.3511 18.7488 0.0194 99.9420 22508
0.0070 0.3641 0.0434 2.3511 18.7488 0.0194 99.9420 22558
0.0070 0.3735 0.0445 2.3499 18.7475 0.0199 99.9405 22608
0.0080 0.3735 0.0389 2.3499 18.7475 0.0199 99.9480 22658
0.0070 0.3734 0.0445 2.3483 18.7463 0.0199 99.9405 22708
0.0080 0.3734 0.0389 2.3483 18.7463 0.0199 99.9480 22758
0.0090 0.3734 0.0346 2.3483 18.7463 0.0199 99.9538 22808
0.0080 0.3734 0.0389 2.3466 18.7450 0.0199 99.9480 22858
0.0080 0.3734 0.0389 2.3466 18.7450 0.0199 99.9480 22908
0.0060 0.3734 0.0519 2.3466 18.7450 0.0199 99.9306 22958
0.0070 0.3640 0.0434 2.3444 18.7437 0.0194 99.9420 23008
0.0070 0.3640 0.0434 2.3444 18.7437 0.0194 99.9420 23058
0.0080 0.3640 0.0379 2.3444 18.7437 0.0194 99.9493 23108
0.0080 0.3640 0.0379 2.3444 18.7437 0.0194 99.9493 23159
0.0060 0.3640 0.0506 2.3444 18.7437 0.0194 99.9324 23209
0.0070 0.3734 0.0445 2.3433 18.7425 0.0199 99.9405 23259
0.0070 0.3734 0.0445 2.3433 18.7425 0.0199 99.9405 23309
0.0080 0.3734 0.0389 2.3433 18.7425 0.0199 99.9480 23359
0.0070 0.3734 0.0445 2.3433 18.7425 0.0199 99.9405 23409
